[2026-07-18T15:45:57.539Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/evento-crowd.jpg → 200 (4ms, 304012B)
[2026-07-18T15:45:57.545Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (1ms, 62556B)
[2026-07-18T15:45:57.545Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, 8688B)
[2026-07-18T15:45:57.545Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (?ms, 8724B)
[2026-07-18T15:51:27.987Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/index.html → 200 (1ms, 31288B)
[2026-07-18T15:51:27.992Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:opsz,wght@9..40,400;9..40,500;9..40,700;9..40,800;9..40,900&family=DM+Mono:wght@400;500&display=swap → 200 (1ms, 5937B)
[2026-07-18T15:51:27.992Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/logo-regenera.svg → 200 (1ms, 7821B)
[2026-07-18T15:51:27.992Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/hero-regenera.jpg → 200 (1ms, 696223B)
[2026-07-18T15:51:27.992Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/renegar-regenerar.jpg → 200 (1ms, 398439B)
[2026-07-18T15:51:27.992Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/semilla-aula.jpg → 200 (2ms, 228737B)
[2026-07-18T15:51:27.992Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/evento-crowd.jpg → 200 (2ms, 304012B)
[2026-07-18T15:51:28.001Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (2ms, 62556B)
[2026-07-18T15:51:28.001Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, 8688B)
[2026-07-18T15:51:28.001Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (?ms, 8724B)
[2026-07-18T15:51:28.164Z] GET https://www.youtube.com/embed/m91L5dTdORs?autoplay=1&rel=0 → pending (?ms, ?B)
[2026-07-18T15:51:28.474Z] GET https://www.youtube.com/s/player/882a803a/www-player.css → 200 (12ms, 525369B)
[2026-07-18T15:51:28.474Z] GET https://www.youtube.com/s/_/ytembeds/_/ss/k=ytembeds.base.KYIZNdRMTVY.L.W.O/am=AAAAgA/d=0/br=1/rs=AGKMywGLH1ML3PrBIUR6KPNIOGlrviPLxw → 200 (18ms, 476283B)
[2026-07-18T15:51:28.476Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (63ms, 34668B)
